---- Model: CausalSkip_128-64-32-16-4 ----
Train Losses:
Epoch 1: 0.7714250736371169
Epoch 2: 0.5192702181201357
Epoch 3: 0.45668613651766166
Epoch 4: 0.41066279744197476
Epoch 5: 0.385012547693099
Epoch 6: 0.3688989067693775
Epoch 7: 0.35592545216087046
Epoch 8: 0.34454292669730674
Epoch 9: 0.32780944032730086
Epoch 10: 0.3262107403725317
Epoch 11: 0.31453702305230846
Epoch 12: 0.30365360665997315
Epoch 13: 0.3057324912608531
Epoch 14: 0.30008441136762176
Epoch 15: 0.2944348145767497
Validation Losses:
Epoch 1: 0.5511447048780703
Epoch 2: 0.4653830246248277
Epoch 3: 0.41142268262829584
Epoch 4: 0.3458436415521306
Epoch 5: 0.35331269347405847
Epoch 6: 0.32065461039312254
Epoch 7: 0.3567505549315045
Epoch 8: 0.33371951260485994
Epoch 9: 0.3098244687497648
Epoch 10: 0.3097852194387674
Epoch 11: 0.3122770188911896
Epoch 12: 0.29416071292309626
Epoch 13: 0.28141038338024454
Epoch 14: 0.29967486038325447
Epoch 15: 0.34568101339861423

