Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,-7.416706,-1.242202,-6.147221,0.936048,-0.2737646,0.2114611,-29.29888,-2.128369,-35.78531,956.6442
0.027487278,-8.401237,-3.260183,-6.513045,0.9394746,-0.2747127,0.2066696,-29.2986,-2.128914,-35.84981,956.6442
0.032485485,-8.339704,-3.675649,-6.634986,0.9394738,-0.274739,0.2037982,-29.2986,-2.128914,-35.84981,956.6459
0.042480469,-7.601305,-4.20982,-7.061782,0.9389959,-0.2752301,0.2042777,-29.2986,-2.128914,-35.84981,956.6459
0.052475929,-6.73984,-4.862697,-7.488577,0.9443342,-0.2742053,0.1985252,-29.2986,-2.128914,-35.84981,956.6459
0.062471390,-6.247574,-5.218811,-7.854402,0.9486531,-0.2707579,0.1942096,-29.2986,-2.128914,-35.84981,956.6459
0.072466373,-6.432174,-5.396868,-8.403138,0.9476255,-0.2678187,0.1989964,-29.2986,-2.128914,-35.84981,956.6436
0.082461834,-6.73984,-5.634277,-9.012846,0.9480405,-0.2638966,0.2018661,-29.2986,-2.128914,-35.84981,956.6436
0.092457294,-7.047506,-5.931039,-9.744495,0.9465708,-0.2634178,0.2042615,-29.2986,-2.128914,-35.84981,956.6436
0.102452278,-7.355172,-6.168448,-10.23226,0.9504489,-0.2623825,0.2028187,-29.2986,-2.128914,-35.84981,956.6436
0.112447739,-7.478239,-6.46521,-10.65906,0.945263,-0.2717529,0.1990016,-29.2986,-2.128914,-35.84981,956.6497
0.122443199,-7.785905,-6.761972,-10.781,0.9440431,-0.2586347,0.2013932,-29.6682,-2.445965,-35.5284,956.6497
0.132438660,-8.155105,-7.118086,-10.84197,0.950404,-0.2599317,0.205211,-29.6682,-2.445965,-35.5284,956.6497
0.142433643,-8.708903,-7.177439,-10.84197,0.9533349,-0.260386,0.2023346,-29.6682,-2.445965,-35.5284,956.6497
0.152429104,-9.385769,-7.118086,-10.781,0.9602255,-0.2641988,0.1956235,-29.6682,-2.445965,-35.5284,956.65
0.162424564,-9.939568,-7.355496,-10.59809,0.9683689,-0.2567664,0.1936931,-29.6682,-2.445965,-35.5284,956.65
0.172419548,-10.7395,-7.592906,-10.3542,0.9653471,-0.2514413,0.1980042,-30.03649,-2.82641,-35.20665,956.65
0.182415009,-11.90863,-7.830315,-10.3542,0.9712107,-0.2522973,0.1979941,-30.03649,-2.82641,-35.20665,956.65
0.192410469,-12.52396,-7.949019,-10.17129,0.9721853,-0.2522649,0.1994282,-30.03649,-2.82641,-35.20665,956.6556
0.202405453,-12.89316,-8.008372,-9.988379,0.9790236,-0.2530841,0.2013308,-30.03649,-2.82641,-35.20665,956.6556
0.212400913,-13.20083,-8.067724,-10.04935,0.9862831,-0.2505592,0.1960531,-30.04604,-2.442785,-34.82168,956.6556
0.222396374,-13.26236,-8.245782,-10.04935,0.9883502,-0.2568312,0.1965297,-30.04604,-2.442785,-34.82168,956.6556
0.232391834,-13.3239,-8.127077,-10.41517,0.9848406,-0.2515421,0.1979702,-30.04604,-2.442785,-34.82168,956.6559
0.242386818,-13.44696,-8.245782,-10.53712,0.991262,-0.2563448,0.190303,-30.04604,-2.442785,-34.82168,956.6559
0.252382279,-13.07776,-8.008372,-10.53712,0.9873852,-0.2573362,0.1965315,-30.04604,-2.442785,-34.82168,956.6559
0.262378216,-13.01623,-7.830315,-10.47614,0.9893335,-0.2573021,0.1960495,-30.04576,-2.44333,-34.88618,956.6559
0.272373676,-12.70856,-7.414848,-10.3542,0.982091,-0.260838,0.1970202,-30.04576,-2.44333,-34.88618,956.6603
0.282368660,-12.09323,-7.236791,-10.11032,0.9806652,-0.2628407,0.1936732,-30.04576,-2.44333,-34.88618,956.6603
0.292364121,-11.60097,-7.058734,-9.927407,0.975216,-0.2580802,0.1946386,-30.04576,-2.44333,-34.88618,956.6603
0.302359581,-11.60097,-6.880677,-9.744495,0.973642,-0.2523808,0.1836327,-30.04576,-2.44333,-34.88618,956.6603
0.312354565,-11.72403,-6.70262,-9.683525,0.9703162,-0.256763,0.1898611,-30.4383,-1.742286,-34.11867,956.662
0.322350025,-12.09323,-6.524563,-9.622554,0.9741371,-0.2528921,0.1798033,-30.4383,-1.742286,-34.11867,956.662
0.332345486,-11.78556,-6.109096,-9.134788,0.9723721,-0.2626151,0.1831589,-30.4383,-1.742286,-34.11867,956.662
0.342340946,-11.90863,-5.990392,-8.951876,0.9762217,-0.260162,0.1774087,-30.4383,-1.742286,-34.11867,956.662
0.352335930,-11.97016,-5.931039,-8.890904,0.9814687,-0.2542796,0.1716551,-30.4383,-1.742286,-34.11867,956.6646
0.362331390,-11.6625,-5.990392,-8.647021,0.9844849,-0.2590092,0.1793083,-30.8079,-2.059337,-33.79726,956.6646
0.372326851,-11.6625,-5.634277,-8.707993,0.9839337,-0.255623,0.1788298,-30.8079,-2.059337,-33.79726,956.6646
0.382321835,-11.97016,-5.634277,-8.829934,0.9888124,-0.2560608,0.1735571,-30.8079,-2.059337,-33.79726,956.6646
0.392317295,-12.4009,-5.45622,-8.768963,0.9892787,-0.2551586,0.1649417,-30.8079,-2.059337,-33.79726,956.6663
0.402312756,-13.07776,-5.752982,-8.829934,0.996596,-0.2554517,0.1701933,-30.8079,-2.059337,-33.79726,956.6663
0.412307739,-13.20083,-5.45622,-8.890904,0.9972726,-0.265709,0.1630161,-30.8079,-2.059337,-33.79726,956.6663
0.422303200,-12.9547,-5.278163,-9.012846,0.999166,-0.2627691,0.1615763,-30.8079,-2.059337,-33.79726,956.6663
0.432298660,-12.83163,-5.159458,-9.073817,0.9861133,-0.268403,0.1582505,-30.8079,-2.059337,-33.79726,956.6666
0.442294598,-12.2163,-5.278163,-8.829934,0.9827117,-0.2689869,0.1549066,-30.8079,-2.059337,-33.79726,956.6666
0.452290058,-11.90863,-5.396868,-8.768963,0.989072,-0.2703059,0.1563315,-30.8079,-2.059337,-33.79726,956.6666
0.462285042,-11.78556,-5.574925,-8.829934,0.9876554,-0.2727899,0.1534632,-30.8096,-2.056068,-33.41026,956.6666
0.472280502,-11.41637,-4.981401,-8.829934,0.9862225,-0.2742409,0.1572947,-30.8096,-2.056068,-33.41026,956.6683
0.482275963,-10.9241,-4.862697,-8.707993,0.9867285,-0.2751809,0.1596869,-30.8096,-2.056068,-33.41026,956.6683
0.492270947,-10.7395,-4.803344,-8.707993,0.991103,-0.2746217,0.1582434,-30.8096,-2.056068,-33.41026,956.6683
0.502266407,-9.939568,-4.387877,-8.707993,0.9950439,-0.2770261,0.1524943,-30.8096,-2.056068,-33.41026,956.6683
0.512261868,-9.139636,-4.328525,-8.586051,0.9921846,-0.2804974,0.1510644,-31.56049,-2.058969,-33.09332,956.6686
0.522256851,-8.46277,-4.031764,-8.342168,0.9937277,-0.2848535,0.1496271,-31.56049,-2.058969,-33.09332,956.6686
0.532252312,-7.724371,-3.972411,-8.159256,0.9966244,-0.2832946,0.1544074,-31.56049,-2.058969,-33.09332,956.6686
0.542247772,-7.232106,-3.972411,-7.976343,0.9937455,-0.2858382,0.1481916,-31.56049,-2.058969,-33.09332,956.6686
0.552243233,-6.309107,-4.031764,-7.854402,1.002153,-0.2925016,0.1453072,-31.56049,-2.058969,-33.09332,956.6664
0.562238217,-5.078443,-3.735002,-7.305665,1.002605,-0.2905094,0.1496131,-31.93693,-2.058513,-32.7091,956.6664
0.572233677,-3.909311,-3.735002,-6.634986,1.01051,-0.2961231,0.1563008,-31.93693,-2.058513,-32.7091,956.6664
0.582229138,-2.494047,-3.20083,-6.08625,1.005575,-0.2928234,0.15583,-31.93693,-2.058513,-32.7091,956.6664
0.592224121,-1.078783,-2.963421,-5.232659,1.006532,-0.2917932,0.1601352,-31.93693,-2.058513,-32.7091,956.6683
0.602219582,-0.3403839,-2.369897,-4.50101,0.9985659,-0.2827001,0.1620611,-31.93693,-2.058513,-32.7091,956.6683
0.612215519,-0.094251,-2.073135,-3.769361,0.9979777,-0.2773883,0.1596679,-31.56705,-1.742006,-33.09501,956.6683
0.622210979,-0.7711166,-1.895078,-2.8548,0.9948361,-0.2657878,0.1596704,-31.56705,-1.742006,-33.09501,956.6683
0.632206440,-2.124848,-1.776374,-1.940238,0.9971247,-0.2579982,0.1563143,-31.56705,-1.742006,-33.09501,956.6677
0.642201424,-3.355512,-1.479612,-0.7208229,0.9877682,-0.2528684,0.1529793,-31.56705,-1.742006,-33.09501,956.6677
0.652196884,-4.893843,-1.420259,0.01082622,0.9935951,-0.2517902,0.1520117,-31.56705,-1.742006,-33.09501,956.6677
0.662192345,-5.878375,-1.479612,0.8034461,0.9920853,-0.2494781,0.1424422,-31.92906,-2.438869,-32.70707,956.6677
0.672187328,-6.493707,-0.9454404,1.1083,0.9905883,-0.2475375,0.1453158,-31.92906,-2.438869,-32.70707,956.6711
0.682182789,-6.985973,-0.8267356,1.657037,0.9889979,-0.2408053,0.1410096,-31.92906,-2.438869,-32.70707,956.6711
0.692178249,-7.908971,-1.123497,1.718008,0.9796866,-0.2381262,0.1352823,-31.92906,-2.438869,-32.70707,956.6711
0.702173233,-8.708903,-1.123497,1.535095,0.9778302,-0.242996,0.1381582,-31.92906,-2.438869,-32.70707,956.6711
0.712168693,-8.46277,-1.360907,1.413154,0.9736091,-0.2518658,0.1338607,-31.56218,-2.055701,-32.70631,956.6705
0.722164154,-7.170573,-1.895078,0.9863584,0.9683952,-0.2598009,0.1276503,-31.56218,-2.055701,-32.70631,956.6705
0.732159138,-4.46311,-1.776374,0.4985923,0.9716191,-0.2757645,0.128606,-31.56218,-2.055701,-32.70631,956.6705
0.742155552,-0.7711166,-2.013783,0.1937385,0.9770481,-0.279615,0.1209403,-31.56218,-2.055701,-32.70631,956.6705
0.752150536,2.551678,-2.19184,0.01082622,0.9821786,-0.2673519,0.1223639,-31.56218,-2.055701,-32.70631,956.6719
0.762145996,4.582274,-1.835726,-0.2940276,0.9837706,-0.2483863,0.1204419,-31.56846,-1.739282,-32.77251,956.6719
0.772141457,5.382206,-1.717021,-0.5379106,0.9874753,-0.2381258,0.1185185,-31.56846,-1.739282,-32.77251,956.6719
0.782136440,5.320673,-1.657669,-0.5379106,0.9873382,-0.2308482,0.1175597,-31.56846,-1.739282,-32.77251,956.6719
0.792131901,4.459208,-1.835726,-0.2940276,0.9892045,-0.2264379,0.1175554,-31.56846,-1.739282,-32.77251,956.6689
0.802127361,3.290077,-1.776374,-0.4159691,0.9950849,-0.2283093,0.1127598,-31.56846,-1.739282,-32.77251,956.6689
0.812122345,2.490145,-1.95443,-0.2330568,0.9896822,-0.2259513,0.1165972,-32.31308,-2.058601,-32.38937,956.6689
0.822117805,1.690213,-1.95443,0.01082622,0.9906477,-0.2254331,0.1180311,-32.31308,-2.058601,-32.38937,956.6689
0.832113266,0.2749484,-2.251192,0.6205339,0.9875705,-0.2172153,0.1199487,-32.31308,-2.058601,-32.38937,956.6717
0.842108726,-1.694115,-2.726011,0.8644169,0.9908971,-0.2128112,0.1161132,-32.31308,-2.058601,-32.38937,956.6717
0.852103710,-4.093911,-3.082125,1.291212,0.9894151,-0.2119432,0.1079797,-32.32133,-1.738369,-32.00407,956.6717
0.862099171,-6.616774,-3.378887,1.839949,0.9907857,-0.2070435,0.1094118,-32.32133,-1.738369,-32.00407,956.6717
0.872095108,-9.385769,-3.853706,2.571598,0.9902774,-0.2061694,0.09984095,-32.32133,-1.738369,-32.00407,956.6762
0.882090569,-11.97016,-4.328525,3.059364,0.9871448,-0.195059,0.09936497,-32.32133,-1.738369,-32.00407,956.6762
0.892085552,-15.41603,-4.922049,3.608101,0.9914722,-0.1921149,0.09313519,-32.32133,-1.738369,-32.00407,956.6762
0.902081013,-18.43115,-5.278163,4.156838,0.9804682,-0.2030669,0.08837142,-31.94489,-1.738826,-32.38828,956.6762
0.912076473,-20.40022,-6.168448,4.583633,0.9795475,-0.2060358,0.08454518,-31.94489,-1.738826,-32.38828,956.6733
0.922071457,-22.00008,-6.761972,5.010429,0.9849395,-0.2079564,0.07544333,-31.94489,-1.738826,-32.38828,956.6733
0.932066917,-23.47688,-7.533553,5.498195,0.9780822,-0.2061876,0.07114764,-31.94489,-1.738826,-32.38828,956.6733
0.942062378,-25.44594,-8.542543,5.864019,0.9707273,-0.2039865,0.06206696,-31.94489,-1.738826,-32.38828,956.6733
0.952057838,-26.98427,-9.788943,5.498195,0.9654111,-0.2066353,0.04963392,-31.56529,-2.049708,-31.99681,956.6737
0.962052822,-27.72267,-10.91664,5.0714,0.9645806,-0.214497,0.04198018,-31.56529,-2.049708,-31.99681,956.6737
0.972048283,-27.35347,-12.16304,4.888487,0.9657421,-0.2248148,0.02714495,-31.56529,-2.049708,-31.99681,956.6737
0.982044220,-26.18434,-13.35009,4.034896,0.9595693,-0.2338285,0.01136502,-31.56529,-2.049708,-31.99681,956.6737
0.992039680,-24.64601,-14.35908,3.242276,0.9639989,-0.2361706,0.01135791,-31.56529,-2.049708,-31.99681,956.6708
1.002034664,-22.92308,-15.42742,2.510627,0.9675236,-0.2425323,-0.001089578,-32.72135,-0.5968456,-31.62593,956.6708
1.012030125,-19.78489,-16.73317,1.596066,0.9691577,-0.2517504,-0.003004357,-32.72135,-0.5968456,-31.62593,956.6708
1.022025585,-16.46209,-17.80151,0.6205339,0.978007,-0.255971,-0.005411577,-32.72135,-0.5968456,-31.62593,956.6708
1.032021046,-13.57003,-18.8105,-0.1720861,0.9896728,-0.2542037,0.003182,-32.72135,-0.5968456,-31.62593,956.6712
1.042016029,-10.80103,-19.76014,-0.7208229,0.9911456,-0.254586,0.01131532,-32.72135,-0.5968456,-31.62593,956.6712
1.052011490,-8.46277,-20.70978,-1.452472,0.9833326,-0.2538036,0.007500134,-32.74385,0.1769414,-30.08198,956.6712
1.062006950,-6.062974,-21.42201,-2.549946,0.9865621,-0.2439508,0.01514918,-32.74385,0.1769414,-30.08198,956.6712
1.072001934,-4.278511,-22.07488,-3.586449,0.9825385,-0.2371964,0.01850449,-32.74385,0.1769414,-30.08198,956.6717
1.081997395,-3.170913,-22.90582,-4.135185,0.9834776,-0.2351902,0.0232881,-32.74385,0.1769414,-30.08198,956.6717
1.091993332,-3.170913,-23.85546,-4.440039,0.976272,-0.240656,0.02569495,-32.74385,0.1769414,-30.08198,956.6717
1.101988792,-3.663178,-24.56768,-4.744893,0.9807839,-0.2473656,0.02616739,-32.76126,0.9409218,-29.69903,956.6717
1.111983776,-3.847778,-25.51732,-4.988776,0.9872349,-0.2535554,0.02615773,-32.76126,0.9409218,-29.69903,956.6698
1.121979237,-2.92478,-26.34826,-5.3546,0.9786298,-0.2625162,0.02138928,-32.76126,0.9409218,-29.69903,956.6698
1.131974697,-1.140316,-26.58566,-5.964308,0.9919394,-0.2704354,0.02998249,-32.76126,0.9409218,-29.69903,956.6698
1.141970158,1.628679,-26.88243,-6.634986,0.9949522,-0.2752659,0.02662845,-32.76126,0.9409218,-29.69903,956.6698
1.151965141,4.828408,-26.88243,-6.93984,0.9984186,-0.2780561,0.03284461,-33.49671,0.1778545,-29.31354,956.672
1.161960602,7.35127,-26.52631,-7.610519,1.006564,-0.2705446,0.03952854,-33.49671,0.1778545,-29.31354,956.672
1.171956062,9.197267,-26.34826,-7.549548,1.00402,-0.2647592,0.04001006,-33.49671,0.1778545,-29.31354,956.672
1.181951046,9.751066,-26.05149,-7.061782,1.005538,-0.2675835,0.04670821,-33.49671,0.1778545,-29.31354,956.672
1.191946983,9.997199,-25.93279,-6.513045,1.004113,-0.2695641,0.04575405,-33.49671,0.1778545,-29.31354,956.6698
1.201942444,10.3664,-25.87344,-5.598484,1.003689,-0.2729872,0.04431994,-34.25127,0.1820354,-28.15809,956.6698
1.211937904,10.7356,-25.81408,-5.171688,1.007642,-0.2757853,0.04862096,-34.25127,0.1820354,-28.15809,956.6698
1.221933365,11.04326,-25.75473,-4.379068,1.011104,-0.2786984,0.04143703,-34.25127,0.1820354,-28.15809,956.6698
1.231928349,12.39699,-25.33926,-3.830332,1.014163,-0.2859534,0.03856211,-34.25127,0.1820354,-28.15809,956.6737
1.241923809,13.87379,-24.80509,-3.159653,1.019531,-0.2862938,0.04286002,-34.25127,0.1820354,-28.15809,956.6737
1.251919270,15.04292,-24.09286,-2.367033,1.031247,-0.2868149,0.06676854,-34.996,-0.1979523,-27.45212,956.6737
1.261914253,15.84286,-23.20258,-1.330531,1.040488,-0.2855507,0.07871651,-34.996,-0.1979523,-27.45212,956.6737
1.271909714,16.76585,-21.89683,-0.05014454,1.049854,-0.2911312,0.08588026,-34.996,-0.1979523,-27.45212,956.6719
1.281905651,18.91952,-20.47237,0.8034461,1.041119,-0.2925774,0.105996,-34.996,-0.1979523,-27.45212,956.6719
1.291901112,21.01165,-18.75115,2.022861,1.057174,-0.2905787,0.1303749,-34.996,-0.1979523,-27.45212,956.6719
1.301896095,23.22684,-15.66483,3.059364,1.068917,-0.2925483,0.1552409,-35.73145,-0.96102,-27.06663,956.6719
1.311891556,25.38051,-11.45081,3.364218,1.077948,-0.2793362,0.1987722,-35.73145,-0.96102,-27.06663,956.67
1.321887016,26.73424,-6.70262,3.059364,1.065199,-0.2488465,0.2126653,-35.73145,-0.96102,-27.06663,956.67
1.331882477,24.45751,-3.735002,2.388686,1.050942,-0.2168026,0.1873173,-35.73145,-0.96102,-27.06663,956.67
1.341877461,19.16565,-0.9454404,2.75451,1.041848,-0.2001805,0.1648359,-35.73145,-0.96102,-27.06663,956.67
