Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,-9.089125,-2.426878,-2.383129,0.8319165,0.08819306,0.5196953,-54.39019,-17.05522,-9.196862,950.509
0.017248631,-9.710283,-4.866744,-2.505734,0.83937,0.08389699,0.5243449,-54.39341,-17.06145,-9.644959,950.5107
0.022177219,-9.46182,-4.747726,-2.505734,0.8427249,0.08586043,0.5209592,-54.39341,-17.06145,-9.644959,950.5107
0.032032967,-9.399704,-4.390673,-2.444432,0.8608097,0.08699285,0.520711,-54.39341,-17.06145,-9.644959,950.5107
0.041889668,-9.15124,-3.736075,-2.383129,0.8628947,0.08167627,0.5254284,-54.39341,-17.06145,-9.644959,950.5107
0.051746368,-8.09527,-2.843441,-2.015311,0.859985,0.09323981,0.5016075,-54.39341,-17.06145,-9.644959,950.5107
0.061603069,-6.480257,-2.545896,-1.831402,0.8633935,0.09619498,0.5030214,-54.39341,-17.06145,-9.644959,950.5109
0.071458817,-6.666604,-1.77228,-1.708796,0.8723035,0.09776748,0.5120125,-54.76437,-17.05179,-9.258945,950.5109
0.081315517,-7.101416,-1.296208,-1.892705,0.8663975,0.09477592,0.5068003,-54.76437,-17.05179,-9.258945,950.5109
0.091172218,-6.915068,-1.058172,-2.321826,0.8620982,0.08500189,0.5058206,-54.76437,-17.05179,-9.258945,950.5109
0.101028919,-6.41814,-0.582101,-2.62834,0.8646615,0.08115122,0.5110228,-54.76437,-17.05179,-9.258945,950.5107
0.110884666,-5.796981,0.01298836,-3.057462,0.8635734,0.08599354,0.5072456,-54.76437,-17.05179,-9.258945,950.5107
0.120741367,-4.927359,1.02464,-3.057462,0.869891,0.08066742,0.4994434,-54.07921,-17.0597,-9.262486,950.5107
0.130598068,-3.063881,2.095801,-3.547885,0.8499351,0.06684819,0.4948193,-54.07921,-17.0597,-9.262486,950.5107
0.140454292,-0.6413602,2.15531,-4.222218,0.836197,0.05499779,0.4814974,-54.07921,-17.0597,-9.262486,950.5145
0.150310516,3.023479,2.274328,-4.773945,0.8422589,0.03166955,0.4749846,-54.07921,-17.0597,-9.262486,950.5145
0.160167217,7.371593,2.512363,-5.938702,0.8489805,0.04780546,0.4798169,-54.07921,-17.0597,-9.262486,950.5145
0.170023441,9.54565,2.69089,-7.103459,0.8691569,0.05241128,0.4925066,-54.08398,-16.6969,-9.65034,950.5145
0.182344437,6.50197,0.7270955,-6.91955,0.8573081,0.09510518,0.486327,-54.08398,-16.6969,-9.65034,950.5129
0.192200661,1.346349,-1.236699,-5.754793,0.8713995,0.1249856,0.5055463,-54.08398,-16.6969,-9.65034,950.5129
0.202056885,-3.622924,-2.486387,-5.08046,0.877775,0.1235818,0.5054436,-54.08398,-16.6969,-9.65034,950.5129
0.211913586,-7.971038,-3.021967,-4.160915,0.8710195,0.1152478,0.5049904,-54.08398,-16.6969,-9.65034,950.5129
0.221769810,-9.275472,-3.914601,-4.038309,0.8646994,0.09274428,0.4881185,-54.45093,-17.42354,-9.256785,950.5131
0.231626511,-8.716429,-4.866744,-4.160915,0.8616561,0.07719934,0.5024067,-54.45093,-17.42354,-9.256785,950.5131
0.241482735,-7.536227,-5.580852,-3.977006,0.8612349,0.07477329,0.5052674,-54.45093,-17.42354,-9.256785,950.5131
0.251338959,-7.660459,-6.473485,-3.977006,0.8490071,0.08735941,0.5165696,-54.45093,-17.42354,-9.256785,950.5131
0.261195660,-8.405849,-6.711521,-3.118764,0.8416224,0.09411624,0.5191278,-54.45093,-17.42354,-9.256785,950.5098
0.271052361,-10.20721,-6.830539,-2.199219,0.8464736,0.09805377,0.5195711,-54.45139,-17.42443,-9.320798,950.5098
0.280909061,-12.25704,-6.949557,-0.7892506,0.8510541,0.09570232,0.5305075,-54.45139,-17.42443,-9.320798,950.5098
0.290764809,-13.74782,-6.77103,0.2529004,0.8437639,0.08735106,0.5267074,-54.45139,-17.42443,-9.320798,950.5098
0.300621510,-14.0584,-7.009066,1.111142,0.8402599,0.08143929,0.5156858,-54.45139,-17.42443,-9.320798,950.5118
0.310478211,-13.25089,-7.009066,1.724172,0.8399911,0.06343344,0.5160169,-54.45139,-17.42443,-9.320798,950.5118
0.320334911,-10.89049,-7.366119,2.582414,0.8331249,0.05506793,0.5074186,-54.07766,-17.42874,-9.322728,950.5118
0.330190659,-8.343734,-7.425628,3.011535,0.8363816,0.06969727,0.5079749,-54.07766,-17.42874,-9.322728,950.5118
0.340047360,-5.983329,-7.187593,3.440656,0.8355809,0.07888038,0.4932085,-54.07766,-17.42874,-9.322728,950.5103
0.352367878,-4.741011,-7.723173,4.237596,0.8478872,0.08828682,0.5070093,-54.07766,-17.42874,-9.322728,950.5103
0.362224579,-5.67275,-8.199244,5.15714,0.8560101,0.09514055,0.498805,-54.07766,-17.42874,-9.322728,950.5103
0.372081280,-6.72872,-8.199244,5.831473,0.8633103,0.09714771,0.4977595,-54.44587,-17.41374,-8.552632,950.5103
0.381937027,-7.349879,-8.139735,6.505806,0.864915,0.09329399,0.5044129,-54.44587,-17.41374,-8.552632,950.5084
0.391793728,-7.287763,-8.496789,6.751019,0.8776407,0.09096745,0.5027743,-54.44587,-17.41374,-8.552632,950.5084
0.401650429,-6.790836,-8.556298,6.873624,0.8826372,0.09201706,0.5113375,-54.44587,-17.41374,-8.552632,950.5084
0.411506653,-5.424286,-8.080227,5.954079,0.8893551,0.09692269,0.506012,-54.44587,-17.41374,-8.552632,950.5084
0.421363354,-4.368315,-7.604155,4.973231,0.8888522,0.1008203,0.508448,-55.18731,-18.50955,-8.537456,950.5142
0.431219578,-4.430431,-7.247101,3.501959,0.8985428,0.09648633,0.497731,-55.18731,-18.50955,-8.537456,950.5142
0.441075802,-4.865242,-6.711521,2.766323,0.8962038,0.1023539,0.5107522,-55.18731,-18.50955,-8.537456,950.5142
0.450932503,-5.859097,-5.937905,1.662869,0.8908013,0.1003472,0.5074579,-55.18731,-18.50955,-8.537456,950.5142
